Date,Open,High,Low,Close,Adj Close,Volume
2015-12-07,36.459999,36.52,34.27,34.549999,31.585863,59959100
2015-12-14,34.779999,35.27,33.540001,33.669998,30.781361,76161100
2015-12-21,33.790001,34.939999,33.59,34.599998,31.964733,33886500
2015-12-28,34.529999,34.689999,34,34.009998,31.419666,23078200
2016-01-04,33.450001,33.540001,29.42,29.530001,27.280886,99662200
2016-01-11,30.370001,31.9,28.799999,29.57,27.317837,115616500
2016-01-18,29.93,30.290001,28.32,29.280001,27.049923,73454400
2016-01-25,29.33,29.9,28.4,29.639999,27.382504,88079600
2016-02-01,29.459999,30.25,28.1,28.540001,26.366285,101660500
2016-02-08,28.280001,28.870001,26.690001,27.709999,25.599499,91789100
2016-02-15,28,29.549999,27.76,28.780001,26.588009,52404500
2016-02-22,28.780001,29.959999,27.809999,29.629999,27.373266,70824600
2016-02-29,29.370001,31.74,28.92,31.370001,28.980742,75135000
2016-03-07,31.309999,31.780001,30.200001,31.26,28.879122,68778800
2016-03-14,31.18,32.380001,30.440001,31.959999,29.896095,55055700
2016-03-21,32.110001,32.209999,30.389999,30.959999,28.960674,36741000
2016-03-28,31.129999,31.67,30.32,30.469999,28.502314,60745000
2016-04-04,30.4,30.48,29.18,29.370001,27.473352,52533500
2016-04-11,29.49,31.049999,29.27,30.559999,28.586506,47557400
2016-04-18,30.76,33.41,30.610001,32.18,30.101891,79621700
2016-04-25,32.09,32.73,31.52,31.799999,29.746428,51993600
2016-05-02,32.049999,32.119999,30.299999,30.959999,28.960674,60226700
2016-05-09,31,31.459999,30.370001,30.52,28.549091,45817400
2016-05-16,30.5,31.040001,30.17,30.57,28.595858,53624900
2016-05-23,30.5,31.77,30.35,31.389999,29.362906,38396000
2016-05-30,31.540001,31.620001,29.51,29.6,27.688498,68990700
2016-06-06,29.85,30.379999,28.98,29.059999,27.183371,61050300
2016-06-13,28.85,29.43,28.5,29.23,27.690472,55464700
2016-06-20,29.620001,30.030001,28.25,28.35,26.856821,71143500
2016-06-27,28.09,29.66,27.34,28.889999,27.36838,73858200
2016-07-04,28.639999,29.870001,27.52,29.66,28.097824,54290900
2016-07-11,29.790001,31.049999,29.74,30.77,29.149361,63696100
2016-07-18,30.75,32.869999,30.610001,32.16,30.46615,96343300
2016-07-25,32.189999,32.360001,30.65,31.540001,29.878805,66438200
2016-08-01,31.540001,31.620001,29.82,30.799999,29.17778,71799400
2016-08-08,30.92,31.790001,30.799999,31.57,29.907223,58019000
2016-08-15,31.59,31.889999,31.4,31.83,30.15353,50525800
2016-08-22,31.790001,32.09,31.360001,31.530001,29.869331,53813600
2016-08-29,31.780001,32.549999,31.23,32.16,30.46615,53779500
2016-09-05,32.25,32.34,30.370001,30.48,28.874634,63601000
2016-09-12,30.360001,31.35,30.129999,30.969999,29.690079,72564600
2016-09-19,31.9,32.470001,31.33,32.119999,30.792549,81415500
2016-09-26,32.02,32.119999,31.450001,31.77,30.457018,56031000
2016-10-03,31.639999,32.779999,31.610001,32.34,31.00346,48496200
2016-10-10,32.310001,32.599998,30.879999,31.870001,30.552883,42875900
2016-10-17,31.84,32.169998,31.190001,32.040001,30.715858,44643800
2016-10-24,32.18,33.080002,31.120001,31.32,30.025614,100483100
2016-10-31,31.42,32.080002,30.940001,31.16,29.872225,60876400
2016-11-07,31.58,34.279999,30.209999,34.02,32.614025,123365500
2016-11-14,33.900002,34.419998,32.75,33,31.636183,59712000
2016-11-21,33.23,34.32,32.77,34.25,32.834518,37977400
2016-11-28,34.349998,36.66,33.860001,35.41,33.946583,99654000
2016-12-05,35.349998,37.68,34.91,37.66,36.103596,91880800
2016-12-12,37.509998,37.740002,35.779999,36.369999,35.24514,86384600
